Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ULTA,"Ulta Beauty, Inc.",209.09,$12.75B,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/ulta
UCTT,"Ultra Clean Holdings, Inc.",17.24,$662.61M,2004,Technology,Semiconductors,https://www.nasdaq.com/symbol/uctt
UPL,Ultra Petroleum Corp.,4.94,$969.95M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/upl
RARE,Ultragenyx Pharmaceutical Inc.,44.33,$2.11B,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rare
ULBI,Ultralife Corporation,6.9,$107.83M,1992,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ulbi
UMBF,UMB Financial Corporation,72.28,$3.6B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/umbf
UMPQ,Umpqua Holdings Corporation,20.52,$4.52B,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/umpq
UNAM,Unico American Corporation,8.75,$46.44M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/unam
UBSH,Union Bankshares Corporation,35.7,$2.35B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ubsh
UNB,"Union Bankshares, Inc.",51.3,$228.93M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/unb
QURE,uniQure N.V.,19.4,$597.52M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/qure
UBCP,"United Bancorp, Inc.",12.6041,$68.51M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ubcp
UBOH,"United Bancshares, Inc.",22,$71.89M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/uboh
UBSI,"United Bankshares, Inc.",33.65,$3.53B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ubsi
UCBA,United Community Bancorp,20.2,$84.86M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ucba
UCBI,"United Community Banks, Inc.",29.82,$2.32B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ucbi
UCFC,United Community Financial Corp.,9.24,$460.15M,n/a,Finance,Banks,https://www.nasdaq.com/symbol/ucfc
UBNK,"United Financial Bancorp, Inc. ",15.705,$798.61M,n/a,Finance,Banks,https://www.nasdaq.com/symbol/ubnk
UFCS,"United Fire Group, Inc",40.72,$1.01B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ufcs
UIHC,United Insurance Holdings Corp.,18.72,$800.35M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/uihc
UNFI,"United Natural Foods, Inc.",44.08,$2.22B,1996,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/unfi
UBFO,United Security Bancshares,10.15,$171.39M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ubfo
USLM,"United States Lime & Minerals, Inc.",72.7,$405.42M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/uslm
UTHR,United Therapeutics Corporation,126.26,$5.46B,1999,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/uthr
UG,"United-Guardian, Inc.",17.85,$82.01M,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ug
